Player,Stat,25th Percentile,50th Percentile (Median),75th Percentile
Thomas Chabot,Goals,6.0,8.0,10.25
Thomas Chabot,Assists,16.0,20.0,23.25
Thomas Chabot,Points,24.0,28.0,31.0
Artem Zub,Goals,1.0,2.0,3.0
Artem Zub,Assists,15.0,16.0,20.0
Artem Zub,Points,16.0,18.0,22.0
Nick Jensen,Goals,1.0,2.0,3.0
Nick Jensen,Assists,19.0,22.0,25.0
Nick Jensen,Points,21.0,24.0,27.0
Travis Hamonic,Goals,0.0,1.0,2.0
Travis Hamonic,Assists,6.0,8.0,10.0
Travis Hamonic,Points,7.75,9.0,11.0
Jacob Bernard-Docker,Goals,0.0,1.0,2.0
Jacob Bernard-Docker,Assists,5.0,6.5,8.0
Jacob Bernard-Docker,Points,6.0,8.0,10.0
Nikita Kucherov,Goals,31.75,37.0,41.0
Nikita Kucherov,Assists,45.75,49.0,53.0
Nikita Kucherov,Points,79.75,86.5,92.25
Brayden Point,Goals,39.75,44.5,49.0
Brayden Point,Assists,32.0,36.0,40.0
Brayden Point,Points,76.0,81.0,87.0
Jake Guentzel,Goals,18.0,21.0,24.0
Jake Guentzel,Assists,41.75,45.0,50.0
Jake Guentzel,Points,60.0,68.0,72.0
Brandon Hagel,Goals,20.0,23.0,26.0
Brandon Hagel,Assists,29.0,34.0,37.25
Brandon Hagel,Points,51.75,57.0,62.0
Anthony Cirelli,Goals,17.0,19.5,22.0
Anthony Cirelli,Assists,26.0,29.5,32.25
Anthony Cirelli,Points,45.0,49.0,53.0
Nicholas Paul,Goals,19.0,22.0,25.0
Nicholas Paul,Assists,14.0,17.0,19.0
Nicholas Paul,Points,35.0,40.0,44.25
Conor Sheary,Goals,10.0,11.0,13.0
Conor Sheary,Assists,22.0,24.0,26.0
Conor Sheary,Points,32.0,35.0,39.0
Mikey Eyssimont,Goals,5.0,8.0,10.0
Mikey Eyssimont,Assists,15.0,17.0,20.0
Mikey Eyssimont,Points,22.0,25.0,29.0
Cam Atkinson,Goals,6.0,7.0,10.0
Cam Atkinson,Assists,16.0,19.0,22.0
Cam Atkinson,Points,23.0,26.0,30.0
Zemgus Girgensons,Goals,7.0,9.0,11.0
Zemgus Girgensons,Assists,5.0,6.0,8.0
Zemgus Girgensons,Points,13.0,15.5,18.0
Luke Glendening,Goals,5.0,7.0,9.0
Luke Glendening,Assists,4.0,5.0,7.0
Luke Glendening,Points,10.0,12.0,15.0
Mitchell Chaffee,Goals,8.75,10.0,12.0
Mitchell Chaffee,Assists,5.0,6.0,8.0
Mitchell Chaffee,Points,14.75,17.0,19.0
Victor Hedman,Goals,14.0,16.0,19.0
Victor Hedman,Assists,35.0,42.0,47.0
Victor Hedman,Points,51.75,58.0,63.0
Erik Cernak,Goals,3.0,4.0,6.0
Erik Cernak,Assists,17.0,20.0,23.0
Erik Cernak,Points,21.75,25.0,28.0
Ryan McDonagh,Goals,1.0,1.0,3.0
Ryan McDonagh,Assists,18.0,22.0,24.0
Ryan McDonagh,Points,19.0,23.0,26.0
Darren Raddysh,Goals,1.0,3.0,4.0
Darren Raddysh,Assists,10.0,12.0,14.0
Darren Raddysh,Points,12.0,15.0,17.25
JJ Moser,Goals,0.75,1.0,2.0
JJ Moser,Assists,11.0,13.0,16.0
JJ Moser,Points,12.0,14.0,18.0
Nick Perbix,Goals,0.0,1.0,2.0
Nick Perbix,Assists,10.0,13.0,16.0
Nick Perbix,Points,11.75,14.0,17.0
Auston Matthews,Goals,45.0,48.5,54.0
Auston Matthews,Assists,34.0,39.0,42.25
Auston Matthews,Points,82.0,88.0,95.0
William Nylander,Goals,30.0,34.0,38.25
William Nylander,Assists,34.0,37.0,42.0
William Nylander,Points,66.0,72.5,79.0
Mitch Marner,Goals,30.0,34.0,37.0
Mitch Marner,Assists,45.0,50.0,54.0
Mitch Marner,Points,77.0,85.0,90.0
John Tavares,Goals,18.0,20.0,23.25
John Tavares,Assists,25.0,28.0,32.0
John Tavares,Points,44.0,49.0,54.0
Matthew Knies,Goals,17.0,20.0,23.0
Matthew Knies,Assists,25.0,29.0,32.0
Matthew Knies,Points,44.0,49.0,54.25
Max Domi,Goals,11.0,13.0,16.0
Max Domi,Assists,37.0,42.0,45.0
Max Domi,Points,49.0,56.0,59.0
Nicholas Robertson,Goals,13.0,15.0,18.25
Nicholas Robertson,Assists,19.0,21.5,24.0
Nicholas Robertson,Points,33.0,37.5,40.0
Max Pacioretty,Goals,10.0,12.0,14.0
Max Pacioretty,Assists,17.0,20.0,23.0
Max Pacioretty,Points,29.0,32.5,35.0
Pontus Holmberg,Goals,10.0,12.0,15.0
Pontus Holmberg,Assists,18.75,22.0,26.0
Pontus Holmberg,Points,29.0,34.0,39.0
David Kampf,Goals,6.0,8.0,10.0
David Kampf,Assists,6.0,8.5,9.25
David Kampf,Points,13.0,16.0,18.0
Connor Dewar,Goals,5.0,7.0,9.0
Connor Dewar,Assists,7.0,10.0,12.0
Connor Dewar,Points,14.0,17.0,19.0
Bobby McMann,Goals,8.0,10.0,12.0
Bobby McMann,Assists,6.0,8.0,10.0
Bobby McMann,Points,16.0,18.5,21.0
Ryan Reaves,Goals,0.0,1.0,1.0
Ryan Reaves,Assists,1.0,1.0,2.0
Ryan Reaves,Points,1.0,2.0,3.0
Steven Lorentz,Goals,0.0,0.0,1.0
Steven Lorentz,Assists,0.75,1.0,2.0
Steven Lorentz,Points,1.0,2.0,3.0
Calle Jarnkrok,Goals,1.0,1.0,2.0
Calle Jarnkrok,Assists,1.0,2.5,3.0
Calle Jarnkrok,Points,3.0,4.0,5.0
Morgan Rielly,Goals,7.75,10.0,12.0
Morgan Rielly,Assists,38.0,43.0,46.0
Morgan Rielly,Points,46.0,52.5,57.0
Chris Tanev,Goals,4.0,5.0,7.0
Chris Tanev,Assists,18.0,20.0,23.25
Chris Tanev,Points,22.0,26.0,29.0
Oliver Ekman-Larsson,Goals,2.0,3.0,4.0
Oliver Ekman-Larsson,Assists,15.0,18.0,21.0
Oliver Ekman-Larsson,Points,18.0,21.0,24.0
Jake McCabe,Goals,2.0,2.0,3.25
Jake McCabe,Assists,16.0,19.0,22.0
Jake McCabe,Points,18.75,22.0,25.0
Simon Benoit,Goals,0.0,1.0,1.0
Simon Benoit,Assists,3.0,4.0,5.0
Simon Benoit,Points,3.0,5.0,6.0
Timothy Liljgren,Goals,0.0,1.0,2.0
Timothy Liljgren,Assists,7.0,8.0,11.0
Timothy Liljgren,Points,7.0,10.0,12.0
Conor Timmins,Goals,0.0,1.0,2.0
Conor Timmins,Assists,2.0,3.0,4.0
Conor Timmins,Points,3.0,4.0,6.0
Sebastian Aho,Goals,2.0,19.5,45.0
Sebastian Aho,Assists,8.0,23.0,44.0
Sebastian Aho,Points,10.0,44.0,90.0
Andrei Svechnikov,Goals,28.0,32.0,35.0
Andrei Svechnikov,Assists,40.0,44.0,47.0
Andrei Svechnikov,Points,70.0,77.0,81.25
Seth Jarvis,Goals,33.0,37.0,42.0
Seth Jarvis,Assists,30.0,33.0,37.0
Seth Jarvis,Points,66.75,71.5,77.0
Jesperi Kotkaniemi,Goals,20.0,23.0,27.0
Jesperi Kotkaniemi,Assists,20.0,23.0,26.0
Jesperi Kotkaniemi,Points,41.75,47.0,50.0
Martin Necas,Goals,25.75,28.0,32.0
Martin Necas,Assists,29.0,33.0,36.0
Martin Necas,Points,56.0,60.0,67.0
Jesper Fast,Goals,11.75,14.5,18.0
Jesper Fast,Assists,23.0,26.0,29.0
Jesper Fast,Points,36.0,40.0,46.0
Jack Drury,Goals,4.0,6.0,8.0
Jack Drury,Assists,19.0,22.0,26.0
Jack Drury,Points,25.0,28.5,32.0
Jordan Staal,Goals,8.0,9.0,11.0
Jordan Staal,Assists,12.0,14.0,17.0
Jordan Staal,Points,21.0,24.0,27.0
Jack Roslovic,Goals,10.75,12.0,14.0
Jack Roslovic,Assists,23.75,27.0,32.0
Jack Roslovic,Points,35.75,40.0,44.0
Tyson Jost,Goals,6.0,8.0,10.0
Tyson Jost,Assists,9.0,12.0,13.25
Tyson Jost,Points,17.0,19.5,22.0
William Carrier,Goals,6.0,7.5,10.0
William Carrier,Assists,9.0,12.0,14.0
William Carrier,Points,17.0,19.5,22.0
Jordan Martinook,Goals,6.0,8.0,10.0
Jordan Martinook,Assists,15.0,18.0,20.0
Jordan Martinook,Points,22.0,26.0,29.25
Brendan Lemieux,Goals,1.0,1.0,2.0
Brendan Lemieux,Assists,2.0,3.0,4.25
Brendan Lemieux,Points,3.0,4.0,6.0
Eric Robinson,Goals,0.0,0.0,1.0
Eric Robinson,Assists,2.0,3.0,4.0
Eric Robinson,Points,2.0,4.0,5.0
Ryan Suzuki,Goals,0.0,1.0,2.0
Ryan Suzuki,Assists,1.0,2.0,4.0
Ryan Suzuki,Points,2.0,3.0,5.0
Jaccob Slavin,Goals,3.0,5.0,7.0
Jaccob Slavin,Assists,25.0,28.0,31.0
Jaccob Slavin,Points,30.0,33.0,37.0
Brent Burns,Goals,9.75,12.0,14.0
Brent Burns,Assists,24.0,27.0,32.0
Brent Burns,Points,36.0,39.5,43.0
Sean Walker,Goals,2.0,4.0,5.0
Sean Walker,Assists,17.0,21.0,25.0
Sean Walker,Points,21.0,25.0,28.25
Dimitry Orlov,Goals,2.0,4.0,5.0
Dimitry Orlov,Assists,13.0,16.0,19.0
Dimitry Orlov,Points,17.0,20.0,22.25
Shayne Gostisbehere,Goals,1.0,2.5,3.0
Shayne Gostisbehere,Assists,13.75,16.0,18.0
Shayne Gostisbehere,Points,15.0,18.0,21.0
Jalen Chatfield,Goals,1.0,2.0,3.0
Jalen Chatfield,Assists,8.0,9.0,11.25
Jalen Chatfield,Points,9.0,12.0,13.0
Boone Jenner,Goals,25.0,28.0,32.0
Boone Jenner,Assists,18.0,22.0,24.0
Boone Jenner,Points,45.0,49.0,55.0
Kirill Marchenko,Goals,24.0,28.0,32.0
Kirill Marchenko,Assists,15.0,19.0,22.0
Kirill Marchenko,Points,43.0,46.5,51.25
Sean Monahan,Goals,22.0,26.0,30.0
Sean Monahan,Assists,36.0,40.0,42.0
Sean Monahan,Points,60.0,64.5,69.25
Adam Fantilli,Goals,18.0,21.0,24.0
Adam Fantilli,Assists,26.0,29.0,32.25
Adam Fantilli,Points,45.75,50.0,55.0
Kent Johnson,Goals,16.0,19.0,21.0
Kent Johnson,Assists,25.75,29.0,34.0
Kent Johnson,Points,44.0,48.0,53.0
Yegor Chinakhov,Goals,18.0,21.5,24.0
Yegor Chinakhov,Assists,13.0,15.0,18.0
Yegor Chinakhov,Points,33.75,37.0,40.25
Cole Sillinger,Goals,3.0,5.0,7.0
Cole Sillinger,Assists,14.0,17.0,20.0
Cole Sillinger,Points,19.0,22.0,25.0
James van Riemsdyk,Goals,5.0,6.0,9.0
James van Riemsdyk,Assists,23.0,26.0,29.0
James van Riemsdyk,Points,29.0,32.0,37.0
Dimitri Voronkov,Goals,10.0,11.0,14.0
Dimitri Voronkov,Assists,21.0,25.0,27.25
Dimitri Voronkov,Points,32.0,36.0,40.0
Sean Kuraly,Goals,7.0,9.0,11.0
Sean Kuraly,Assists,7.0,9.0,11.0
