Name,Team,Goals,Assists,Points
Stefan Noesen,NJ,9,22,31
Curtis Lazar,NJ,10,16,26
Nathan Bastian,NJ,8,6,14
Paul Cotter,NJ,12,11,23
Dougie Hamilton,NJ,10,30,40
Jonas Siegenthaler,NJ,5,20,25
Brett Pesce,NJ,3,20,23
Brenden Dillon,NJ,3,16,19
Johnathan Kovacevic,NJ,1,8,9
Simon Nemec,NJ,0,14,14
Luke Hughes,NJ,1,1,2
Kurtis MacDermid,NJ,2,3,5
Nick DeSimone,NJ,2,0,2
Mat Barzal,NYI,23,48,71
Bo Horvat,NYI,26,41,67
Brock Nelson,NYI,40,22,62
Kyle Palmieri,NYI,13,36,49
Anthony Duclair,NYI,27,33,60
Maxim Tsyplakov,NYI,17,20,37
Anders Lee,NYI,14,10,24
JG Pageau,NYI,10,20,30
Simon Holmstrom,NYI,20,11,31
Casey Cizikas,NYI,12,10,22
Kyle MacLean,NYI,7,18,25
Oliver Wahlstrom,NYI,5,7,12
Hudson Fasching,NYI,4,5,9
Julien Gauthier,NYI,1,2,3
Pierre Engvall,NYI,2,5,7
Noah Dobson,NYI,8,38,46
Ryan Pulock,NYI,5,18,23
Adam Pelech,NYI,1,18,19
Alexander Romanov,NYI,5,19,24
Scott Mayfield,NYI,1,13,14
Mike Reilly,NYI,0,12,12
Samuel Bolduc,NYI,2,0,2
Artemi Panarin,NYR,40,52,92
Mika Zibanejad,NYR,34,39,73
Vincent Trocheck,NYR,19,57,76
Chris Kreider,NYR,29,21,50
Filip Chytil,NYR,18,30,48
Alexis Lafreniere,NYR,24,24,48
Kaapo Kakko,NYR,15,14,29
Reilly Smith,NYR,8,29,37
Will Cuylle,NYR,11,6,17
Matt Rempe,NYR,4,5,9
Jimmy Vesey,NYR,6,11,17
Sam Carrick,NYR,5,13,18
Adam Edstrom,NYR,0,3,3
Adam Fox,NYR,24,28,52
K'Andre Miller,NYR,6,18,24
Ryan Lindgren,NYR,0,19,19
Jacob Trouba,NYR,0,17,17
Zachary Jones,NYR,2,10,12
Braden Schneider,NYR,0,12,12
Chad Ruhwedel,NYR,0,4,4
Alexander Ovechkin,WSH,43,38,81
Tom Wilson,WSH,17,19,36
Dylan Strome,WSH,31,36,67
Pierre-Luc Dubois,WSH,11,21,32
Andrew Mangiapane,WSH,19,34,53
Connor McMichael,WSH,20,29,49
Sonny Milano,WSH,11,24,35
Hendrix Lapierre,WSH,20,13,33
Taylor Raddysh,WSH,9,9,18
Nic Dowd,WSH,20,20,40
Aliaksi Protas,WSH,4,16,20
Brandon Duhaime,WSH,3,6,9
TJ Oshie,WSH,0,1,1
John Carlson,WSH,18,34,52
Jakob Chychrun,WSH,8,19,27
Matt Roy,WSH,2,24,26
Rasmus Sandin,WSH,1,28,29
Trevor Van Riemsdyk,WSH,0,7,7
Martin Fehervary,WSH,2,8,10
Ethan Bear,WSH,0,5,5
Clayton Keller,UT,42,36,78
Barrett Hayton,UT,15,26,41
Nick Schmaltz,UT,25,24,49
Lawson Crouse,UT,23,22,45
Logan Cooley,UT,17,32,49
Dylan Guenther,UT,21,15,36
Mattias Maccelli,UT,9,18,27
Josh Doan,UT,6,19,25
Nick Bjugstad,UT,24,14,38
Alex Kerfoot,UT,4,15,19
Jack McBain,UT,8,18,26
Kevin Stenlund,UT,4,6,10
Michael Carcone,UT,0,1,1
Mikhail Sergachev,UT,6,28,34
Sean Durzi,UT,2,23,25
John Marino,UT,1,17,18
Juuso Valimaki,UT,0,12,12
Ian Cole,UT,1,13,14
Michael Kesselring,UT,1,9,10
Connor Bedard,CHI,26,31,57
Tyler Bertuzzi,CHI,32,29,61
Teuvo Teravainen,CHI,20,26,46
Andreas Athanasiou,CHI,11,20,31
Philip Kurashev,CHI,14,12,26
Taylor Hall,CHI,15,25,40
Jason Dickinson,CHI,7,13,20
Nick Foligno,CHI,11,22,33
Ilya Mikheyev,CHI,18,27,45
Craig Smith,CHI,6,9,15
Ryan Donato,CHI,9,17,26
Lukas Reichel,CHI,9,13,22
Joey Anderson,CHI,2,6,8
Patrick Maroon,CHI,0,1,1
Frank Nazar,CHI,0,0,0
Nolan Slaggert,CHI,0,4,4
Seth Jones,CHI,8,33,41
Alex Vlassic,CHI,5,12,17
Connor Murphy,CHI,3,7,10
Kevin Korchinski,CHI,1,8,9
Alec Martinez,CHI,2,5,7
TJ Brodie,CHI,2,11,13
Nathan MacKinnon,COL,53,52,105
Mikko Rantanen,COL,42,34,76
Jonathan Drouin,COL,24,31,55
Casey Mittelstadt,COL,18,30,48
Artturi Lehkonen,COL,27,40,67
Nikolai Kovalenko,COL,19,34,53
Ross Colton,COL,13,22,35
Miles Wood,COL,1,24,25
Logan O'Connor,COL,11,17,28
Parker Kelly,COL,4,6,10
Chris Wagner,COL,6,12,18
Joel Kiviranta,COL,1,8,9
Gabriel Landeskog,COL,4,4,8
Cale Makar,COL,28,47,75
Devon Toews,COL,13,21,34
Samuel Girard,COL,6,20,26
Josh Manson,COL,3,34,37
Oliver Kylington,COL,2,10,12
Calvin deHaan,COL,2,16,18
Keaton Middleton,COL,0,3,3
Jason Robertson,DAL,41,47,88
Roope Hintz,DAL,41,38,79
Wyatt Johnston,DAL,29,38,67
Jamie Benn,DAL,27,26,53
Tyler Seguin,DAL,25,30,55
Matt Duchene,DAL,27,32,59
Mason Marchment,DAL,17,21,38
Evgeni Dadonov,DAL,17,17,34
Logan Stankoven,DAL,5,27,32
Sam Steel,DAL,10,13,23
Colin Blackwell,DAL,5,17,22
Mavrik Bourque,DAL,14,8,22
Miro Heiskanen,DAL,6,38,44
Esa Lindell,DAL,8,36,44
Thomas Harley,DAL,1,20,21
Ilya Lyubushkin,DAL,4,14,18
Matt Dumba,DAL,1,9,10
Nils Lundkvist,DAL,1,25,26
Brendan Smith,DAL,1,0,1
Kirill Kaprizov,MIN,56,40,96
Matthew Boldy,MIN,28,43,71
Joel Eriksson-Ek,MIN,10,38,48
Mats Zuccarello,MIN,27,40,67
Marcus Foligno,MIN,17,29,46
Ryan Hartman,MIN,25,31,56
Frederick Gaudreau,MIN,8,8,16
Marcus Johansson,MIN,12,21,33
Marco Rossi,MIN,12,8,20
Marat Kushnutdinov,MIN,7,15,22
Yakov Trenin,MIN,2,9,11
Jakub Lauko,MIN,3,23,26
Liam Ohgren,MIN,0,0,0
Brock Faber,MIN,7,20,27
Jonas Brodin,MIN,11,18,29
Jared Spurgeon,MIN,5,20,25
Jake Middleton,MIN,0,13,13
Zach Bogosian,MIN,1,13,14
Jon Merrill,MIN,3,4,7
Filip Forsberg,NSH,39,49,88
Ryan O'Reilly,NSH,32,32,64
Jonathan Marchessault,NSH,34,34,68
Gustav Nyquist,NSH,27,42,69
Steven Stamkos,NSH,24,36,60
Tommy Novak,NSH,26,25,51
Colton Sissons,NSH,10,18,28
Mark Jankowski,NSH,13,7,20
Luke Evangelista,NSH,16,28,44
Cole Smith,NSH,4,13,17
Michael McCarron,NSH,5,11,16
Phil Tomasino,NSH,4,22,26
Juuso Parssinen,NSH,1,1,2
Roman Josi,NSH,16,45,61
Brady Skjei,NSH,3,23,26
Dante Fabbro,NSH,0,18,18
Alexandre Carrier,NSH,2,16,18
Jeremy Lauzon,NSH,3,8,11
Spencer Stastney,NSH,1,9,10
Luke Schenn,NSH,3,2,5
Robert Thomas,STL,28,41,69
Jordan Kyrou,STL,34,22,56
Pavel Buchnevich,STL,19,25,44
Brayden Schenn,STL,20,25,45
Jake Neighbours,STL,18,8,26
Brandon Saad,STL,23,19,42
Radek Faksa,STL,5,17,22
Mathieu Joseph,STL,6,25,31
Dylan Holloway,STL,4,8,12
Alexey Toropchenko,STL,5,3,8
Oskar Sundqvist,STL,3,11,14
Alexandre Texier,STL,8,10,18
Kasperi Kapanen,STL,0,4,4
Colton Parayko,STL,8,8,16
Nick Leddy,STL,6,30,36
Justin Faulk,STL,3,16,19
Philip Broberg,STL,2,17,19
Ryan Suter,STL,0,7,7
Scott Perunovich,STL,0,11,11
Torey Krug,STL,0,5,5
Kyle Connor,WPG,48,28,76
Mark Scheifele,WPG,34,36,70
Gabriel Vilardi,WPG,26,27,53
Cole Perfetti,WPG,16,37,53
Nikolai Ehlers,WPG,14,35,49
Alex Iafallo,WPG,13,24,37
Nino Niederreiter,WPG,20,22,42
Mason Appleton,WPG,6,12,18
Adam Lowry,WPG,8,16,24
Vladislav Namestnikov,WPG,7,15,22
Morgan Barron,WPG,12,6,18
Rasmus Kupari,WPG,2,11,13
Josh Morrissey,WPG,15,44,59
Dylan DeMelo,WPG,3,22,25
Neal Pionk,WPG,0,14,14
Dylan Samberg,WPG,2,20,22
Logan Stanley,WPG,2,12,14
Colin Miller,WPG,5,11,16
Troy Terry,ANA,33,36,69
Alex Killorn,ANA,35,33,68
Leo Carlsson,ANA,15,15,30
Frank Vatrano,ANA,25,17,42
Trevor Zegras,ANA,18,31,49
Cutter Gauthier,ANA,22,24,46
Ryan Strome,ANA,9,20,29
Robby Fabbri,ANA,15,10,25
Mason McTavish,ANA,14,36,50
Brett Leason,ANA,8,9,17
Brock McGinn,ANA,3,11,14
Isac Lundestrom,ANA,2,11,13
Sam Colangelo,ANA,1,5,6
Ross Johnston,ANA,0,1,1
Cam Fowler,ANA,10,19,29
Pavel Mintyukov,ANA,2,21,23
Radko Gudas,ANA,2,15,17
Brian Dumoulin,ANA,2,16,18
Olen Zellweger,ANA,1,14,15
Gustav Lindstrom,ANA,0,9,9
Blake Coleman,CGY,30,34,64
