Name,Team,Goals,Assists,Points
Zack MacEwen,OTT,6,8,14
Noah Gregor,OTT,6,12,18
Nick Cousins,OTT,7,10,17
Jake Sanderson,OTT,12,19,31
Thomas Chabot,OTT,14,28,42
Artem Zub,OTT,3,20,23
Nick Jensen,OTT,3,23,26
Travis Hamonic,OTT,0,13,13
Jacob Bernard-Docker,OTT,2,8,10
Nikita Kucherov,TB,39,49,88
Brayden Point,TB,46,39,85
Jake Guentzel,TB,16,39,55
Brandon Hagel,TB,26,29,55
Anthony Cirelli,TB,19,29,48
Nicholas Paul,TB,25,24,49
Conor Sheary,TB,20,24,44
Mikey Eyssimont,TB,3,13,16
Cam Atkinson,TB,7,17,24
Zemgus Girgensons,TB,11,7,18
Luke Glendening,TB,6,6,12
Mitchell Chaffee,TB,13,10,23
Victor Hedman,TB,10,48,58
Erik Cernak,TB,4,19,23
Ryan McDonagh,TB,1,20,21
Darren Raddysh,TB,3,15,18
JJ Moser,TB,2,19,21
Nick Perbix,TB,2,7,9
Auston Matthews,TOR,50,48,98
William Nylander,TOR,36,30,66
Mitch Marner,TOR,26,49,75
John Tavares,TOR,22,39,61
Matthew Knies,TOR,20,37,57
Max Domi,TOR,13,41,54
Nicholas Robertson,TOR,21,22,43
Max Pacioretty,TOR,17,19,36
Pontus Holmberg,TOR,8,20,28
David Kampf,TOR,9,14,23
Connor Dewar,TOR,10,13,23
Bobby McMann,TOR,12,10,22
Ryan Reaves,TOR,0,2,2
Steven Lorentz,TOR,0,0,0
Calle Jarnkrok,TOR,0,1,1
Morgan Rielly,TOR,9,35,44
Chris Tanev,TOR,5,25,30
Oliver Ekman-Larsson,TOR,1,17,18
Jake McCabe,TOR,5,8,13
Simon Benoit,TOR,0,5,5
Timothy Liljgren,TOR,1,8,9
Conor Timmins,TOR,1,1,2
Sebastian Aho,CAR,49,59,108
Andrei Svechnikov,CAR,36,61,97
Seth Jarvis,CAR,39,40,79
Jesperi Kotkaniemi,CAR,21,27,48
Martin Necas,CAR,34,33,67
Jesper Fast,CAR,12,24,36
Jack Drury,CAR,4,20,24
Jordan Staal,CAR,14,17,31
Jack Roslovic,CAR,14,26,40
Tyson Jost,CAR,6,13,19
William Carrier,CAR,7,11,18
Jordan Martinook,CAR,14,12,26
Brendan Lemieux,CAR,4,6,10
Eric Robinson,CAR,0,2,2
Ryan Suzuki,CAR,0,2,2
Jaccob Slavin,CAR,2,29,31
Brent Burns,CAR,17,25,42
Sean Walker,CAR,2,16,18
Dimitry Orlov,CAR,1,14,15
Shayne Gostisbehere,CAR,4,10,14
Jalen Chatfield,CAR,2,12,14
Boone Jenner,CBJ,34,26,60
Kirill Marchenko,CBJ,30,30,60
Sean Monahan,CBJ,31,45,76
Adam Fantilli,CBJ,20,25,45
Kent Johnson,CBJ,23,21,44
Yegor Chinakhov,CBJ,16,19,35
Cole Sillinger,CBJ,5,17,22
James van Riemsdyk,CBJ,7,30,37
Dimitri Voronkov,CBJ,15,21,36
Sean Kuraly,CBJ,12,8,20
Mathieu Olivier,CBJ,6,6,12
Justin Danforth,CBJ,11,10,21
Gavin Brindley,CBJ,1,3,4
Zach Werenski,CBJ,13,51,64
Ivan Provorov,CBJ,6,15,21
Jordan Harris,CBJ,1,24,25
Damon Severson,CBJ,4,27,31
Erik Gudbranson,CBJ,2,8,10
Jack Johnson,CBJ,1,9,10
Travis Konecny,PHI,30,58,88
Owen Tippett,PHI,28,33,61
Tyson Foerster,PHI,28,17,45
Matvei Michkov,PHI,28,23,51
Sean Couturier,PHI,9,34,43
Joel Farabee,PHI,18,27,45
Scott Laughton,PHI,10,11,21
Morgan Frost,PHI,9,23,32
Noah Cates,PHI,12,16,28
Garnet Hathaway,PHI,7,11,18
Ryan Poehling,PHI,8,17,25
Bobby Brink,PHI,11,17,28
Nicolas Deslauriers,PHI,0,0,0
Travis Sanheim,PHI,18,26,44
Cam York,PHI,7,18,25
Nick Seeler,PHI,1,19,20
Jamie Drysdale,PHI,2,20,22
Erik Johnson,PHI,1,3,4
Rasmus Ristolainen,PHI,1,10,11
Sidney Crosby,PIT,43,42,85
Evgeni Malkin,PIT,39,40,79
Bryan Rust,PIT,23,29,52
Rickard Rakell,PIT,14,27,41
Michael Bunting,PIT,18,40,58
Drew O'Connor,PIT,14,30,44
Lars Eller,PIT,19,11,30
Kevin Hayes,PIT,21,23,44
Cody Glass,PIT,6,13,19
Noel Acciari,PIT,5,9,14
Blake Lizotte,PIT,14,19,33
Anthony Beauvilier,PIT,3,17,20
Jesse Puljujarvi,PIT,0,2,2
Erik Karlsson,PIT,20,51,71
Kris Letang,PIT,10,31,41
Marcus Pettersson,PIT,0,16,16
Ryan Graves,PIT,4,14,18
Matt Grzelyck,PIT,1,6,7
Sebastian Aho,PIT,2,8,10
Jack Hughes,NJ,54,39,93
Nico Hischier,NJ,40,53,93
Jesper Bratt,NJ,41,45,86
Timo Meier,NJ,41,21,62
Dawson Mercer,NJ,20,29,49
Erik Haula,NJ,12,43,55
Ondrej Palat,NJ,8,34,42
Tomas Tatar,NJ,14,12,26
Stefan Noesen,NJ,2,22,24
Curtis Lazar,NJ,4,14,18
Nathan Bastian,NJ,4,7,11
Paul Cotter,NJ,12,16,28
Dougie Hamilton,NJ,7,26,33
Jonas Siegenthaler,NJ,2,17,19
Brett Pesce,NJ,2,15,17
Brenden Dillon,NJ,3,17,20
Johnathan Kovacevic,NJ,2,14,16
Simon Nemec,NJ,1,13,14
Luke Hughes,NJ,2,3,5
Kurtis MacDermid,NJ,1,3,4
Nick DeSimone,NJ,4,2,6
Mat Barzal,NYI,35,58,93
Bo Horvat,NYI,26,32,58
Brock Nelson,NYI,29,44,73
Kyle Palmieri,NYI,22,22,44
Anthony Duclair,NYI,26,30,56
Maxim Tsyplakov,NYI,22,29,51
Anders Lee,NYI,8,9,17
JG Pageau,NYI,7,21,28
Simon Holmstrom,NYI,11,11,22
Casey Cizikas,NYI,8,10,18
Kyle MacLean,NYI,7,15,22
Oliver Wahlstrom,NYI,7,6,13
Hudson Fasching,NYI,2,0,2
Julien Gauthier,NYI,3,1,4
Pierre Engvall,NYI,0,6,6
Noah Dobson,NYI,9,28,37
Ryan Pulock,NYI,6,17,23
Adam Pelech,NYI,1,24,25
Alexander Romanov,NYI,2,9,11
Scott Mayfield,NYI,4,9,13
Mike Reilly,NYI,1,21,22
Samuel Bolduc,NYI,2,1,3
Artemi Panarin,NYR,33,44,77
Mika Zibanejad,NYR,30,45,75
Vincent Trocheck,NYR,16,46,62
Chris Kreider,NYR,29,21,50
Filip Chytil,NYR,21,27,48
Alexis Lafreniere,NYR,25,22,47
Kaapo Kakko,NYR,8,15,23
Reilly Smith,NYR,15,27,42
Will Cuylle,NYR,11,4,15
Matt Rempe,NYR,3,7,10
Jimmy Vesey,NYR,8,8,16
Sam Carrick,NYR,7,6,13
Adam Edstrom,NYR,1,1,2
Adam Fox,NYR,25,50,75
K'Andre Miller,NYR,7,16,23
Ryan Lindgren,NYR,0,18,18
Jacob Trouba,NYR,2,24,26
Zachary Jones,NYR,1,6,7
Braden Schneider,NYR,0,7,7
Chad Ruhwedel,NYR,3,1,4
Alexander Ovechkin,WSH,27,32,59
Tom Wilson,WSH,30,24,54
Dylan Strome,WSH,29,42,71
Pierre-Luc Dubois,WSH,14,25,39
Andrew Mangiapane,WSH,11,27,38
Connor McMichael,WSH,14,28,42
Sonny Milano,WSH,15,21,36
Hendrix Lapierre,WSH,20,15,35
Taylor Raddysh,WSH,7,7,14
Nic Dowd,WSH,11,13,24
Aliaksi Protas,WSH,4,18,22
Brandon Duhaime,WSH,6,11,17
TJ Oshie,WSH,0,3,3
John Carlson,WSH,22,34,56
Jakob Chychrun,WSH,5,13,18
Matt Roy,WSH,2,12,14
Rasmus Sandin,WSH,3,15,18
Trevor Van Riemsdyk,WSH,0,8,8
Martin Fehervary,WSH,0,8,8
Ethan Bear,WSH,2,3,5
Clayton Keller,UT,36,48,84
Barrett Hayton,UT,9,27,36
Nick Schmaltz,UT,31,41,72
Lawson Crouse,UT,27,19,46
Logan Cooley,UT,19,41,60
Dylan Guenther,UT,26,16,42
Mattias Maccelli,UT,15,21,36
Josh Doan,UT,10,13,23
Nick Bjugstad,UT,16,15,31
Alex Kerfoot,UT,7,12,19
Jack McBain,UT,12,21,33
Kevin Stenlund,UT,9,8,17
Michael Carcone,UT,2,1,3
Mikhail Sergachev,UT,14,29,43
Sean Durzi,UT,8,20,28
John Marino,UT,3,19,22
Juuso Valimaki,UT,1,15,16
Ian Cole,UT,0,15,15
Michael Kesselring,UT,3,17,20
Connor Bedard,CHI,30,47,77
Tyler Bertuzzi,CHI,27,42,69
Teuvo Teravainen,CHI,23,36,59
Andreas Athanasiou,CHI,12,25,37
Philip Kurashev,CHI,19,17,36
Taylor Hall,CHI,23,21,44
Jason Dickinson,CHI,19,8,27
Nick Foligno,CHI,9,25,34
Ilya Mikheyev,CHI,16,32,48
Craig Smith,CHI,8,10,18
Ryan Donato,CHI,11,12,23
Lukas Reichel,CHI,4,15,19
Joey Anderson,CHI,1,3,4
Patrick Maroon,CHI,2,5,7
Frank Nazar,CHI,1,3,4
Nolan Slaggert,CHI,3,4,7
Seth Jones,CHI,10,26,36
Alex Vlassic,CHI,4,14,18
Connor Murphy,CHI,3,11,14
Kevin Korchinski,CHI,3,10,13
Alec Martinez,CHI,1,6,7
TJ Brodie,CHI,2,12,14
Nathan MacKinnon,COL,46,55,101
Mikko Rantanen,COL,40,40,80
Jonathan Drouin,COL,26,32,58
Casey Mittelstadt,COL,33,40,73
Artturi Lehkonen,COL,21,42,63
Nikolai Kovalenko,COL,21,38,59
Ross Colton,COL,10,16,26
Miles Wood,COL,4,25,29
Logan O'Connor,COL,8,18,26
Parker Kelly,COL,6,5,11
Chris Wagner,COL,5,12,17
Joel Kiviranta,COL,4,1,5
Gabriel Landeskog,COL,0,5,5
Cale Makar,COL,20,41,61
Devon Toews,COL,14,21,35
Samuel Girard,COL,5,17,22
Josh Manson,COL,4,25,29
Oliver Kylington,COL,0,5,5
Calvin deHaan,COL,3,9,12
Keaton Middleton,COL,1,1,2
Jason Robertson,DAL,25,36,61
Roope Hintz,DAL,41,40,81
Wyatt Johnston,DAL,28,30,58
Jamie Benn,DAL,19,30,49
Tyler Seguin,DAL,28,29,57
Matt Duchene,DAL,29,28,57
Mason Marchment,DAL,14,23,37
Evgeni Dadonov,DAL,9,11,20
Logan Stankoven,DAL,14,29,43
Sam Steel,DAL,5,15,20
Colin Blackwell,DAL,3,14,17
Mavrik Bourque,DAL,5,14,19
Miro Heiskanen,DAL,9,27,36
Esa Lindell,DAL,9,27,36
Thomas Harley,DAL,2,16,18
Ilya Lyubushkin,DAL,1,9,10
Matt Dumba,DAL,0,2,2
Nils Lundkvist,DAL,2,17,19
Brendan Smith,DAL,1,2,3
Kirill Kaprizov,MIN,44,35,79
Matthew Boldy,MIN,26,30,56
Joel Eriksson-Ek,MIN,16,30,46
Mats Zuccarello,MIN,28,35,63
Marcus Foligno,MIN,21,28,49
Ryan Hartman,MIN,17,41,58
Frederick Gaudreau,MIN,12,15,27
Marcus Johansson,MIN,15,17,32
Marco Rossi,MIN,17,16,33
Marat Kushnutdinov,MIN,4,17,21
Yakov Trenin,MIN,1,6,7
Jakub Lauko,MIN,4,15,19
Liam Ohgren,MIN,0,2,2
Brock Faber,MIN,2,35,37
Jonas Brodin,MIN,8,14,22
Jared Spurgeon,MIN,6,16,22
Jake Middleton,MIN,1,12,13
Zach Bogosian,MIN,1,10,11
Jon Merrill,MIN,2,10,12
Filip Forsberg,NSH,38,47,85
Ryan O'Reilly,NSH,25,33,58
Jonathan Marchessault,NSH,49,40,89
Gustav Nyquist,NSH,26,38,64
Steven Stamkos,NSH,29,44,73
Tommy Novak,NSH,27,36,63
Colton Sissons,NSH,10,16,26
Mark Jankowski,NSH,15,9,24
Luke Evangelista,NSH,16,28,44
Cole Smith,NSH,5,15,20
Michael McCarron,NSH,9,4,13
Phil Tomasino,NSH,4,19,23
Juuso Parssinen,NSH,0,1,1
Roman Josi,NSH,21,50,71
Brady Skjei,NSH,11,29,40
Dante Fabbro,NSH,3,28,31
Alexandre Carrier,NSH,0,22,22
Jeremy Lauzon,NSH,0,8,8
Spencer Stastney,NSH,0,17,17
Luke Schenn,NSH,0,1,1
Robert Thomas,STL,35,44,79
Jordan Kyrou,STL,32,31,63
Pavel Buchnevich,STL,25,34,59
Brayden Schenn,STL,23,27,50
Jake Neighbours,STL,21,8,29
Brandon Saad,STL,15,33,48
Radek Faksa,STL,8,17,25
Mathieu Joseph,STL,9,20,29
Dylan Holloway,STL,5,11,16
Alexey Toropchenko,STL,8,10,18
Oskar Sundqvist,STL,8,10,18
Alexandre Texier,STL,5,12,17
Kasperi Kapanen,STL,0,3,3
Colton Parayko,STL,9,9,18
Nick Leddy,STL,7,25,32
Justin Faulk,STL,2,20,22
Philip Broberg,STL,1,15,16
Ryan Suter,STL,2,13,15
Scott Perunovich,STL,0,13,13
Torey Krug,STL,0,1,1
Kyle Connor,WPG,40,24,64
Mark Scheifele,WPG,29,33,62
Gabriel Vilardi,WPG,30,22,52
Cole Perfetti,WPG,15,27,42
Nikolai Ehlers,WPG,26,24,50
Alex Iafallo,WPG,12,22,34
Nino Niederreiter,WPG,8,15,23
Mason Appleton,WPG,10,11,21
Adam Lowry,WPG,3,14,17
Vladislav Namestnikov,WPG,4,17,21
Morgan Barron,WPG,7,7,14
Rasmus Kupari,WPG,2,14,16
Josh Morrissey,WPG,14,37,51
Dylan DeMelo,WPG,3,23,26
Neal Pionk,WPG,2,16,18
Dylan Samberg,WPG,2,14,16
Logan Stanley,WPG,4,10,14
Colin Miller,WPG,1,9,10
Troy Terry,ANA,33,43,76
Alex Killorn,ANA,22,32,54
Leo Carlsson,ANA,23,25,48
Frank Vatrano,ANA,23,17,40
Trevor Zegras,ANA,18,31,49
Cutter Gauthier,ANA,22,21,43
Ryan Strome,ANA,6,34,40
Robby Fabbri,ANA,18,3,21
Mason McTavish,ANA,12,20,32
Brett Leason,ANA,13,9,22
Brock McGinn,ANA,7,9,16
Isac Lundestrom,ANA,6,9,15
Sam Colangelo,ANA,0,3,3
Ross Johnston,ANA,1,2,3
Cam Fowler,ANA,9,26,35
Pavel Mintyukov,ANA,7,21,28
Radko Gudas,ANA,4,18,22
Brian Dumoulin,ANA,2,14,16
Olen Zellweger,ANA,2,13,15
Gustav Lindstrom,ANA,0,16,16
Blake Coleman,CGY,31,31,62
Mikael Backlund,CGY,18,32,50
Jonathan Huberdeau,CGY,22,45,67
Andrei Kuzmenko,CGY,35,21,56
Nazem Kadri,CGY,21,50,71
Connor Zary,CGY,28,27,55
Yegor Sharangovich,CGY,15,16,31
Martin Pospisil,CGY,5,16,21
Anthony Mantha,CGY,15,11,26
Kevin Rooney,CGY,6,8,14
Ryan Lomberg,CGY,7,6,13
Walker Dueher,CGY,7,17,24
Dryden Hunt,CGY,0,1,1
MacKenzie Weegar,CGY,10,25,35
Rasmus Andersson,CGY,8,32,40
Kevin Bahl,CGY,2,13,15
Danill Miromanov,CGY,2,24,26
Tyson Barrie,CGY,4,14,18
Jake Bean,CGY,0,6,6
Brayden Pachal,CGY,0,1,1
Joel Hanley,CGY,1,4,5
Connor McDavid,EDM,38,54,92
Leon Draisaitl,EDM,47,49,96
Ryan Nugent-Hopkins,EDM,24,37,61
Zach Hyman,EDM,38,41,79
Jeff Skinner,EDM,40,31,71
Viktor Arvidsson,EDM,14,25,39
Mattias Janmark,EDM,9,11,20
Connor Brown,EDM,2,25,27
Adam Henrique,EDM,14,22,36
Derek Ryan,EDM,11,11,22
Corey Perry,EDM,7,13,20
Vasaily Podkolzin,EDM,10,10,20
Evander Kane,EDM,0,1,1
Darnell Nurse,EDM,10,43,53
Evan Bouchard,EDM,10,28,38
Mattias Ekholm,EDM,5,30,35
Brett Kulak,EDM,1,11,12
Troy Stecher,EDM,0,10,10
Ty Emberson,EDM,0,13,13
Josh Brown,EDM,2,0,2
Anze Kopitar,LA,26,49,75
Adrian Kempe,LA,43,30,73
Kevin Fiala,LA,23,52,75
Quinton Byfield,LA,17,25,42
Phillip Danault,LA,21,24,45
Arthur Kaliyev,LA,22,19,41
Trevor Moore,LA,16,20,36
Alexis Lafferiere,LA,8,4,12
Warren Foegle,LA,5,18,23
Tanner Jeannot,LA,11,5,16
Trevor Lewis,LA,9,11,20
Alex Turcotte,LA,5,13,18
Drew Doughty,LA,0,2,2
Mikey Anderson,LA,4,15,19
Vladislav Gavrikov,LA,2,12,14
Brandt Clarke,LA,1,16,17
Jordan Spence,LA,3,23,26
Kyle Burroughs,LA,0,11,11
Joel Edmundson,LA,1,7,8
Andreas Englund,LA,0,3,3
Jacob Moverare,LA,1,0,1
Macklin Celebrini,SJ,31,24,55
William Eklund,SJ,25,30,55
Tyler Toffoli,SJ,33,32,65
Mikael Granlund,SJ,7,31,38
Fabian Zetterlund,SJ,19,27,46
Alexander Wennberg,SJ,12,35,47
Will Smith,SJ,13,12,25
Thomas Bordeleau,SJ,14,13,27
Luke Kunin,SJ,6,14,20
Nico Sturm,SJ,12,16,28
Barclay Goodrow,SJ,6,11,17
Ty Dellandrea,SJ,4,17,21
Klim Kostin,SJ,1,2,3
Logan Couture,SJ,1,2,3
Carl Grundstrom,SJ,2,3,5
Mario Ferraro,SJ,2,16,18
Cody Ceci,SJ,10,12,22
Jan Rutta,SJ,4,10,14
Jake Walman,SJ,1,11,12
Matt Benning,SJ,0,10,10
Marc-Eduoard Vlassic,SJ,4,12,16
Jared McCann,SEA,39,30,69
Matty Beniers,SEA,27,23,50
Jordan Eberle,SEA,15,44,59
Yanni Gourde,SEA,14,24,38
Oliver Bjorkstrand,SEA,20,26,46
Chandler Stephenson,SEA,15,23,38
Eeli Tolvanen,SEA,16,11,27
Andre Burakovsky,SEA,4,15,19
Jaden Schwartz,SEA,9,18,27
Brandon Tanev,SEA,9,6,15
Shane Wright,SEA,3,5,8
Tye Kartye,SEA,8,8,16
Vince Dunn,SEA,10,27,37
Adam Larsson,SEA,5,11,16
Jamie Oleksiak,SEA,2,15,17
Brandon Montour,SEA,2,15,17
William Borgen,SEA,0,10,10
Ryker Evans,SEA,0,2,2
Josh Mahura,SEA,2,9,11
Elias Pettersson,VAN,31,42,73
JT Miller,VAN,41,35,76
Jake DeBrusk,VAN,28,23,51
Brock Boeser,VAN,23,32,55
Conor Garland,VAN,20,23,43
Daniel Sprong,VAN,12,23,35
Pius Suter,VAN,14,19,33
Nils Hoglander,VAN,6,24,30
Dakota Joshua,VAN,18,17,35
Teddy Blueger,VAN,3,19,22
Danton Heinen,VAN,13,16,29
Kieffer Sherwood,VAN,6,12,18
Nils Aman,VAN,1,1,2
Phil Di Gisueppe,VAN,3,1,4
Quinn Hughes,VAN,14,43,57
Filip Hronek,VAN,1,18,19
Carson Soucy,VAN,3,10,13
Tyler Myers,VAN,4,19,23
Derek Forbort,VAN,0,7,7
Vincent Desharnais,VAN,1,11,12
Mark Friedman,VAN,0,1,1
Erik Brannstrom,VAN,0,3,3
Jack Eichel,VGK,40,41,81
Mark Stone,VGK,34,45,79
Tomas Hertl,VGK,25,52,77
William Karlsson,VGK,20,39,59
Ivan Barbashev,VGK,32,30,62
Victor Olofsson,VGK,31,19,50
Brett Howden,VGK,18,17,35
Alexander Holtz,VGK,14,12,26
Pavel Dorofeyev,VGK,15,22,37
Keegan Kolesar,VGK,6,14,20
Jonas Rondbjerg,VGK,6,16,22
Nicolas Roy,VGK,13,19,32
Alex Pietrangelo,VGK,8,24,32
Noah Hanafin,VGK,6,34,40
Shea Theodore,VGK,5,47,52
Brayden McNabb,VGK,1,25,26
Nick Hague,VGK,0,5,5
Zach Whitecloud,VGK,2,14,16
Brad Marchand,BOS,34,38,72
David Pastrnak,BOS,33,52,85
Elias Lindholm,BOS,24,37,61
Charlie Coyle,BOS,26,28,54
Pavel Zacha,BOS,21,39,60
Trent Frederic,BOS,15,34,49
Morgan Geekie,BOS,10,26,36
John Beecher,BOS,13,4,17
Mark Kastelic,BOS,13,11,24
Patrick Brown,BOS,8,6,14
Justin Brazeau,BOS,12,6,18
Max Jones,BOS,5,13,18
Charlie McAvoy,BOS,17,36,53
Hampus Lindholm,BOS,2,19,21
Brandon Carlo,BOS,3,11,14
Nikita Zadorov,BOS,3,17,20
Andrew Peeke,BOS,0,7,7
Mason Lohrei,BOS,5,9,14
Parker Wotherspoon,BOS,0,2,2
Tage Thompson,BUF,30,42,72
Alex Tuch,BUF,28,50,78
JJ Peterka,BUF,27,40,67
Dylan Cozens,BUF,17,22,39
Jack Quinn,BUF,21,19,40
Jason Zucker,BUF,19,27,46
Jordan Greenway,BUF,7,12,19
Zach Benson,BUF,19,22,41
Ryan McLeod,BUF,17,19,36
Sam Lafferty,BUF,8,10,18
Nicolas Aube-Kubel,BUF,5,10,15
Beck Malenstyn,BUF,4,12,16
Peyton Krebs,BUF,2,1,3
Rasmus Dahlin,BUF,12,42,54
Owen Power,BUF,4,24,28
Bowen Byram,BUF,6,16,22
Henri Jokijarju,BUF,0,10,10
Connor Clifton,BUF,2,11,13
Mattias Samuelsson,BUF,2,7,9
Jacob Bryson,BUF,1,4,5
Dylan Larkin,DET,33,40,73
Lucas Raymond,DET,29,26,55
Alex DeBrincat,DET,23,36,59
Patrick Kane,DET,21,26,47
JT Compher,DET,18,18,36
Vladimir Tarasenko,DET,20,17,37
Andrew Copp,DET,3,19,22
Michael Rasmussen,DET,6,22,28
Jonatan Berggren,DET,8,23,31
Joe Veleno,DET,8,7,15
Christian Fischer,DET,3,9,12
Tyler Motte,DET,4,10,14
Austin Watson,DET,2,6,8
Moritz Seider,DET,10,26,36
Ben Chiarot,DET,7,19,26
Jeff Petry,DET,2,8,10
Simon Edvinsson,DET,2,6,8
Erik Gustafsson,DET,3,11,14
Olli Maatta,DET,2,15,17
Justin Holl,DET,2,2,4
Matthew Tkachuk,FLA,34,46,80
Aleksander Barkov,FLA,36,37,73
Sam Reinhart,FLA,45,29,74
Sam Bennett,FLA,15,31,46
Carter Verhaeghe,FLA,24,24,48
Evan Rodrigues,FLA,12,32,44
Eetu Luostarainen,FLA,13,21,34
Jonah Gadjovich,FLA,5,12,17
Anton Lundell,FLA,3,16,19
Jesper Boqvist,FLA,20,17,37
AJ Greer,FLA,8,13,21
Tomas Nosek,FLA,5,7,12
Aaron Ekblad,FLA,11,33,44
Gustav Forsling,FLA,13,29,42
Dimitry Kulikov,FLA,2,14,16
Niko Mikkola,FLA,1,13,14
Nate Schmidt,FLA,1,13,14
Adam Boqvist,FLA,2,9,11
Uvis Balinskis,FLA,0,0,0
Tobias Bjornfoot,FLA,0,1,1
John Ludvig,FLA,3,5,8
Nick Suzuki,MTL,38,44,82
Cole Caufield,MTL,33,30,63
Juraj Slafkovsky,MTL,28,17,45
Patrik Laine,MTL,2,5,7
Kriby Dach,MTL,23,10,33
Alex Newhook,MTL,17,31,48
Josh Anderson,MTL,10,15,25
Christian Dvorak,MTL,8,29,37
Rafael Harvey-Pinard,MTL,7,21,28
Brendan Gallagher,MTL,5,17,22
Joel Armia,MTL,19,23,42
Jake Evans,MTL,9,17,26
Joshua Roy,MTL,9,9,18
Michael Pezzetta,MTL,0,4,4
Mike Matheson,MTL,10,39,49
David Savard,MTL,4,31,35
Kaiden Guhle,MTL,2,21,23
Justin Barron,MTL,4,20,24
Lane Hutson,MTL,4,10,14
Arber Xhekaj,MTL,1,10,11
Tim Stuetzle,OTT,35,40,75
Claude Giroux,OTT,34,43,77
Brady Tkachuk,OTT,20,55,75
Drake Batherson,OTT,21,34,55
Shane Pinto,OTT,5,17,22
Josh Norris,OTT,37,18,55
David Perron,OTT,23,24,47
Ridley Greig,OTT,12,27,39
Michael Amadio,OTT,14,15,29
Zack MacEwen,OTT,11,12,23
Noah Gregor,OTT,2,15,17
Nick Cousins,OTT,8,9,17
Jake Sanderson,OTT,1,33,34
Thomas Chabot,OTT,10,15,25
Artem Zub,OTT,2,16,18
Nick Jensen,OTT,4,20,24
Travis Hamonic,OTT,2,11,13
Jacob Bernard-Docker,OTT,3,3,6
Nikita Kucherov,TB,42,41,83
Brayden Point,TB,38,31,69
Jake Guentzel,TB,24,47,71
Brandon Hagel,TB,23,33,56
Anthony Cirelli,TB,15,30,45
Nicholas Paul,TB,25,18,43
Conor Sheary,TB,12,23,35
Mikey Eyssimont,TB,1,17,18
Cam Atkinson,TB,10,27,37
Zemgus Girgensons,TB,12,3,15
Luke Glendening,TB,5,10,15
Mitchell Chaffee,TB,11,9,20
Victor Hedman,TB,19,43,62
Erik Cernak,TB,5,22,27
Ryan McDonagh,TB,5,23,28
Darren Raddysh,TB,1,16,17
JJ Moser,TB,1,14,15
Nick Perbix,TB,1,8,9
Auston Matthews,TOR,45,36,81
William Nylander,TOR,41,32,73
Mitch Marner,TOR,37,54,91
John Tavares,TOR,22,36,58
Matthew Knies,TOR,17,19,36
Max Domi,TOR,17,37,54
Nicholas Robertson,TOR,17,24,41
Max Pacioretty,TOR,7,24,31
Pontus Holmberg,TOR,10,14,24
David Kampf,TOR,12,12,24
Connor Dewar,TOR,5,10,15
Bobby McMann,TOR,7,5,12
Ryan Reaves,TOR,0,2,2
Steven Lorentz,TOR,2,0,2
Calle Jarnkrok,TOR,2,3,5
Morgan Rielly,TOR,3,34,37
Chris Tanev,TOR,6,18,24
Oliver Ekman-Larsson,TOR,0,20,20
Jake McCabe,TOR,2,20,22
Simon Benoit,TOR,1,4,5
Timothy Liljgren,TOR,2,10,12
Conor Timmins,TOR,0,2,2
Sebastian Aho,CAR,46,40,86
Andrei Svechnikov,CAR,28,49,77
Seth Jarvis,CAR,45,30,75
Jesperi Kotkaniemi,CAR,28,32,60
Martin Necas,CAR,30,38,68
Jesper Fast,CAR,13,29,42
Jack Drury,CAR,4,25,29
Jordan Staal,CAR,9,17,26
Jack Roslovic,CAR,11,28,39
Tyson Jost,CAR,11,8,19
William Carrier,CAR,11,16,27
Jordan Martinook,CAR,12,19,31
Brendan Lemieux,CAR,0,1,1
Eric Robinson,CAR,0,3,3
Ryan Suzuki,CAR,0,4,4
Jaccob Slavin,CAR,8,33,41
Brent Burns,CAR,13,38,51
Sean Walker,CAR,7,21,28
Dimitry Orlov,CAR,2,11,13
Shayne Gostisbehere,CAR,1,17,18
Jalen Chatfield,CAR,2,13,15
Boone Jenner,CBJ,26,14,40
Kirill Marchenko,CBJ,24,14,38
Sean Monahan,CBJ,31,35,66
Adam Fantilli,CBJ,8,26,34
Kent Johnson,CBJ,19,27,46
Yegor Chinakhov,CBJ,27,12,39
Cole Sillinger,CBJ,7,24,31
James van Riemsdyk,CBJ,10,21,31
Dimitri Voronkov,CBJ,10,26,36
Sean Kuraly,CBJ,8,8,16
Mathieu Olivier,CBJ,5,7,12
Justin Danforth,CBJ,4,13,17
Gavin Brindley,CBJ,0,2,2
Zach Werenski,CBJ,10,41,51
Ivan Provorov,CBJ,11,16,27
Jordan Harris,CBJ,0,18,18
Damon Severson,CBJ,4,14,18
Erik Gudbranson,CBJ,0,13,13
Jack Johnson,CBJ,0,5,5
Travis Konecny,PHI,28,40,68
Owen Tippett,PHI,47,28,75
Tyson Foerster,PHI,30,16,46
Matvei Michkov,PHI,28,29,57
Sean Couturier,PHI,11,25,36
Joel Farabee,PHI,17,29,46
Scott Laughton,PHI,10,15,25
Morgan Frost,PHI,6,30,36
Noah Cates,PHI,12,14,26
Garnet Hathaway,PHI,15,11,26
Ryan Poehling,PHI,2,15,17
Bobby Brink,PHI,9,20,29
Nicolas Deslauriers,PHI,0,2,2
Travis Sanheim,PHI,16,37,53
Cam York,PHI,7,24,31
Nick Seeler,PHI,1,19,20
Jamie Drysdale,PHI,2,13,15
