Home Team,Home Goalie,Home Score,Home Shots,Away Team,Away Goalie,Away Score,Away Shots,Overtime?,Winner
UT,Karel Vejmelka,1,21,CGY,Dan Vladar,4,32,True,CGY
VAN,Thatcher Demko,7,24,NJ,Jacob Markstrom,2,32,True,VAN
LA,David Rittich,3,29,VGK,Ilya Samsonov,3,24,False,VGK
TOR,Joeseph Woll,3,23,SEA,Philipp Grubauer,3,24,False,SEA
PHI,Ivan Fedotov,4,27,STL,Joel Hofer,6,34,True,STL
PIT,Tristan Jarry,5,31,ANA,John Gibson,4,32,True,PIT
WSH,Logan Thompson,3,28,MTL,Sam Montembeault,2,29,True,WSH
CAR,Pyotr Kochetkov,2,34,BOS,Joonas Korpisalo,2,27,False,BOS
NSH,Juuse Saros,3,26,EDM,Stuart Skinner,2,30,True,NSH
SJ,Mackenzie Blackwood,1,17,CHI,Petr Mrazek,1,21,False,CHI
BUF,Devon Levi,3,30,NYI,Ilya Sorokin,1,29,True,BUF
NYR,Igor Shesterkin,4,33,OTT,Linus Ullmark,1,31,True,NYR
CBJ,Daniil Tarasov,5,21,WPG,Connor Hellebuyck,2,27,True,CBJ
MIN,Filip Gustavsson,2,21,TB,Andrei Vasilevskiy,2,20,False,TB
DAL,Jake Oettinger,1,22,FLA,Spencer Knight,1,24,False,FLA
CGY,Dan Vladar,0,18,NJ,Jacob Markstrom,4,31,True,NJ
PHI,Samuel Ersson,2,30,BOS,Brandon Bussi,5,27,True,BOS
LA,David Rittich,3,29,CHI,Laurent Brossoit,3,25,False,CHI
WSH,Charlie Lindgren,0,21,CBJ,Elvis Merzlikins,0,21,False,CBJ
FLA,Spencer Knight,4,24,DAL,Casey DeSmith,1,25,True,FLA
OTT,Linus Ullmark,2,27,SEA,Joey Daccord,3,32,True,SEA
DET,Cam Talbot,4,31,BUF,Ukko-Pekka Luukkonen,1,25,True,DET
PIT,Tristan Jarry,6,35,MTL,Caiden Primeau,3,21,True,PIT
STL,Joel Hofer,4,20,TOR,Anthony Stolarz,5,28,True,TOR
NSH,Juuse Saros,2,34,COL,Justus Annunen,1,33,True,NSH
VGK,Ilya Samsonov,4,35,UT,Connor Ingram,4,25,False,UT
SJ,Yaroslav Askarov,0,14,VAN,Thatcher Demko,2,42,True,VAN
NYR,Igor Shesterkin,6,32,NYI,Semyon Varlamov,4,21,True,NYR
WPG,Connor Hellebuyck,4,24,TB,Jonas Johansson,4,20,False,TB
BOS,Joonas Korpisalo,2,21,SEA,Joey Daccord,1,21,True,BOS
CAR,Pyotr Kochetkov,1,27,WSH,Logan Thompson,3,26,True,WSH
MIN,Filip Gustavsson,4,25,TOR,Joeseph Woll,3,23,True,MIN
CGY,Dustin Wolf,2,20,EDM,Calvin Pickard,3,25,True,EDM
ANA,John Gibson,2,32,CHI,Petr Mrazek,3,23,True,CHI
NSH,Juuse Saros,3,31,LA,Darcy Kuemper,2,23,True,NSH
EDM,Stuart Skinner,4,38,NJ,Jacob Markstrom,2,34,True,EDM
BUF,Ukko-Pekka Luukkonen,3,28,OTT,Linus Ullmark,1,24,True,BUF
TOR,Joeseph Woll,0,26,BOS,Joonas Korpisalo,1,19,True,BOS
MTL,Sam Montembeault,1,28,CGY,Dustin Wolf,1,20,False,CGY
CAR,Frederik Andersen,2,30,PHI,Samuel Ersson,0,27,True,CAR
NYI,Semyon Varlamov,4,27,PIT,Tristan Jarry,1,24,True,NYI
STL,Jordan Binnington,0,19,TB,Jonas Johansson,1,29,True,TB
MIN,Filip Gustavsson,5,27,LA,Darcy Kuemper,0,19,True,MIN
WPG,Connor Hellebuyck,2,25,UT,Karel Vejmelka,6,29,True,UT
COL,Justus Annunen,3,33,SEA,Philipp Grubauer,2,32,True,COL
ANA,John Gibson,2,21,VAN,Arturs Silovs,2,31,False,VAN
SJ,Mackenzie Blackwood,3,21,CBJ,Daniil Tarasov,4,28,True,CBJ
WSH,Logan Thompson,2,23,NSH,Scott Wedgewood,0,31,True,WSH
CHI,Laurent Brossoit,3,24,DET,Cam Talbot,4,21,True,DET
EDM,Stuart Skinner,2,30,VGK,Ilya Samsonov,3,31,True,VGK
BOS,Brandon Bussi,4,32,CGY,Dustin Wolf,2,27,True,BOS
OTT,Linus Ullmark,3,24,NYI,Semyon Varlamov,3,32,False,NYI
TB,Andrei Vasilevskiy,3,30,PHI,Samuel Ersson,2,27,True,TB
FLA,Sergei Bobrovsky,0,33,NSH,Juuse Saros,2,31,True,NSH
NJ,Jacob Markstrom,4,26,MTL,Sam Montembeault,3,25,True,NJ
NYR,Jonathan Quick,2,24,BUF,Ukko-Pekka Luukkonen,2,19,False,BUF
CAR,Frederik Andersen,4,26,PIT,Alex Nedelkovich,1,22,True,CAR
STL,Jordan Binnington,2,19,UT,Connor Ingram,1,20,True,STL
DAL,Casey DeSmith,3,23,CHI,Petr Mrazek,2,26,True,DAL
WPG,Kaapo Kahkonen,5,28,COL,Justus Annunen,1,27,True,WPG
LA,David Rittich,3,22,VAN,Arturs Silovs,5,28,True,VAN
SJ,Yaroslav Askarov,1,15,MIN,Marc-Andre Fleury,4,34,True,MIN
TOR,Joeseph Woll,4,25,DET,Ville Husso,0,24,True,TOR
WSH,Logan Thompson,6,28,PIT,Alex Nedelkovich,0,20,True,WSH
ANA,John Gibson,3,24,MIN,Marc-Andre Fleury,4,30,True,MIN
SEA,Joey Daccord,5,31,VGK,Adin Hill,1,29,True,SEA
BUF,Ukko-Pekka Luukkonen,4,27,CGY,Dustin Wolf,2,25,True,BUF
FLA,Sergei Bobrovsky,7,34,PHI,Ivan Fedotov,2,30,True,FLA
BOS,Joonas Korpisalo,3,32,OTT,Linus Ullmark,4,19,True,OTT
TOR,Anthony Stolarz,4,27,MTL,Sam Montembeault,3,22,True,TOR
DET,Cam Talbot,2,22,NYR,Igor Shesterkin,3,28,True,NYR
STL,Jordan Binnington,0,18,WSH,Charlie Lindgren,3,26,True,WSH
WPG,Connor Hellebuyck,6,21,DAL,Jake Oettinger,2,36,True,WPG
NYI,Ilya Sorokin,1,31,NJ,Jacob Markstrom,3,36,True,NJ
NSH,Juuse Saros,2,33,UT,Connor Ingram,0,30,True,NSH
COL,Justus Annunen,2,30,CAR,Pyotr Kochetkov,2,23,False,CAR
LA,David Rittich,3,19,CBJ,Daniil Tarasov,2,25,True,LA
VAN,Thatcher Demko,2,27,EDM,Calvin Pickard,1,28,True,VAN
NJ,Jake Allen,3,43,SJ,Mackenzie Blackwood,1,26,True,NJ
CHI,Petr Mrazek,1,18,MIN,Marc-Andre Fleury,0,22,True,CHI
ANA,Lukas Dostal,5,27,CBJ,Elvis Merzlikins,4,26,True,ANA
BUF,Ukko-Pekka Luukkonen,3,38,MTL,Sam Montembeault,3,29,False,MTL
PHI,Ivan Fedotov,3,32,SJ,Mackenzie Blackwood,1,16,True,PHI
PIT,Tristan Jarry,0,31,DAL,Jake Oettinger,6,44,True,DAL
CGY,Dan Vladar,3,28,LA,Darcy Kuemper,1,26,True,CGY
COL,Alexandar Georgiev,2,36,NSH,Juuse Saros,0,34,True,COL
VGK,Ilya Samsonov,4,21,CAR,Frederik Andersen,1,38,True,VGK
TOR,Anthony Stolarz,2,35,OTT,Linus Ullmark,0,20,True,TOR
FLA,Sergei Bobrovsky,1,22,NJ,Jake Allen,3,29,True,NJ
NYR,Igor Shesterkin,3,23,WPG,Connor Hellebuyck,3,30,False,WPG
STL,Jordan Binnington,4,30,BOS,Brandon Bussi,3,35,True,STL
EDM,Stuart Skinner,1,29,NYI,Semyon Varlamov,0,19,True,EDM
VAN,Thatcher Demko,1,29,CGY,Dustin Wolf,2,22,True,CGY
SEA,Joey Daccord,5,29,CBJ,Elvis Merzlikins,2,18,True,SEA
PIT,Alex Nedelkovich,5,34,DET,Ville Husso,3,23,True,PIT
WSH,Logan Thompson,4,20,TOR,Joeseph Woll,2,30,True,WSH
UT,Karel Vejmelka,2,27,CAR,Frederik Andersen,3,34,True,CAR
COL,Alexandar Georgiev,1,30,LA,Darcy Kuemper,3,26,True,LA
ANA,John Gibson,4,29,VGK,Ilya Samsonov,4,24,False,VGK
BUF,Ukko-Pekka Luukkonen,1,24,STL,Jordan Binnington,3,33,True,STL
OTT,Linus Ullmark,5,27,PHI,Samuel Ersson,2,35,True,OTT
TB,Andrei Vasilevskiy,2,23,WPG,Connor Hellebuyck,0,25,True,TB
FLA,Sergei Bobrovsky,2,21,NJ,Jacob Markstrom,1,24,True,FLA
NYR,Igor Shesterkin,1,21,SJ,Yaroslav Askarov,2,20,True,SJ
DAL,Jake Oettinger,4,29,BOS,Brandon Bussi,3,30,True,DAL
MIN,Filip Gustavsson,3,31,MTL,Caiden Primeau,3,22,False,MTL
EDM,Stuart Skinner,1,30,NSH,Juuse Saros,0,31,True,EDM
VAN,Arturs Silovs,2,34,NYI,Semyon Varlamov,6,28,True,NYI
SEA,Philipp Grubauer,3,26,CHI,Laurent Brossoit,4,21,True,CHI
CBJ,Daniil Tarasov,0,18,PIT,Tristan Jarry,3,29,True,PIT
COL,Alexandar Georgiev,2,25,WSH,Charlie Lindgren,4,23,True,WSH
CGY,Dustin Wolf,5,29,NSH,Juuse Saros,4,25,True,CGY
UT,Karel Vejmelka,2,21,VGK,Ilya Samsonov,2,33,False,VGK
ANA,Lukas Dostal,4,20,DET,Ville Husso,4,30,False,DET
BOS,Joonas Korpisalo,2,36,STL,Joel Hofer,3,21,True,STL
SEA,Joey Daccord,2,19,NYI,Ilya Sorokin,2,23,False,NYI
TOR,Joeseph Woll,2,29,EDM,Stuart Skinner,1,26,True,TOR
MTL,Sam Montembeault,1,30,CBJ,Elvis Merzlikins,2,20,True,CBJ
TB,Andrei Vasilevskiy,4,26,NJ,Jacob Markstrom,2,27,True,TB
FLA,Sergei Bobrovsky,2,28,WPG,Connor Hellebuyck,2,27,False,WPG
PHI,Ivan Fedotov,3,32,BUF,Ukko-Pekka Luukkonen,4,26,True,BUF
PIT,Alex Nedelkovich,6,31,SJ,Yaroslav Askarov,2,19,True,PIT
CAR,Frederik Andersen,4,26,OTT,Linus Ullmark,4,30,False,OTT
MIN,Marc-Andre Fleury,2,24,DAL,Casey DeSmith,2,29,False,DAL
LA,Darcy Kuemper,0,18,DET,Cam Talbot,4,25,True,DET
VAN,Thatcher Demko,0,24,CHI,Laurent Brossoit,0,16,False,CHI
CAR,Pyotr Kochetkov,2,39,STL,Jordan Binnington,1,20,True,CAR
VAN,Thatcher Demko,3,21,NSH,Juuse Saros,1,20,True,VAN
VGK,Adin Hill,4,26,WSH,Charlie Lindgren,4,33,False,WSH
SEA,Joey Daccord,2,26,NYR,Igor Shesterkin,2,27,False,NYR
BOS,Brandon Bussi,0,29,CBJ,Elvis Merzlikins,5,23,True,CBJ
PHI,Ivan Fedotov,7,24,COL,Alexandar Georgiev,5,29,True,PHI
MTL,Sam Montembeault,2,25,EDM,Stuart Skinner,2,37,False,EDM
DAL,Casey DeSmith,4,26,ANA,John Gibson,2,24,True,DAL
UT,Karel Vejmelka,0,25,WSH,Logan Thompson,3,23,True,WSH
SJ,Mackenzie Blackwood,1,28,DET,Cam Talbot,0,26,True,SJ
OTT,Anton Forsberg,6,27,EDM,Calvin Pickard,2,32,True,OTT
PIT,Tristan Jarry,6,29,TB,Andrei Vasilevskiy,2,37,True,PIT
STL,Joel Hofer,2,26,MIN,Marc-Andre Fleury,2,23,False,MIN
WPG,Connor Hellebuyck,2,22,FLA,Sergei Bobrovsky,4,30,True,FLA
CHI,Laurent Brossoit,0,30,ANA,John Gibson,1,18,True,ANA
CGY,Dustin Wolf,2,28,NYI,Semyon Varlamov,4,22,True,NYI
VAN,Thatcher Demko,2,29,NYR,Igor Shesterkin,4,28,True,NYR
TOR,Anthony Stolarz,4,22,VGK,Adin Hill,1,29,True,TOR
PHI,Samuel Ersson,4,26,CAR,Pyotr Kochetkov,3,41,True,PHI
DAL,Jake Oettinger,2,30,SJ,Yaroslav Askarov,1,20,True,DAL
SEA,Philipp Grubauer,5,25,NSH,Juuse Saros,3,25,True,SEA
LA,David Rittich,2,31,BUF,Devon Levi,3,19,True,BUF
BOS,Brandon Bussi,2,24,UT,Connor Ingram,2,19,False,UT
OTT,Linus Ullmark,2,25,VGK,Adin Hill,0,28,True,OTT
DET,Ville Husso,3,30,NYI,Ilya Sorokin,2,24,True,DET
NJ,Jacob Markstrom,0,31,CAR,Pyotr Kochetkov,4,25,True,CAR
WSH,Logan Thompson,3,34,COL,Alexandar Georgiev,2,30,True,WSH
CBJ,Elvis Merzlikins,3,19,TB,Andrei Vasilevskiy,3,38,False,TB
STL,Jordan Binnington,3,23,SJ,Mackenzie Blackwood,3,20,False,SJ
CHI,Petr Mrazek,2,21,FLA,Spencer Knight,5,32,True,FLA
CGY,Dustin Wolf,2,25,NYR,Jonathan Quick,3,21,True,NYR
EDM,Calvin Pickard,5,32,MIN,Filip Gustavsson,3,19,True,EDM
PIT,Tristan Jarry,2,34,WPG,Connor Hellebuyck,5,23,True,WPG
ANA,John Gibson,3,20,BUF,Devon Levi,2,20,True,ANA
PHI,Samuel Ersson,3,19,CHI,Petr Mrazek,0,23,True,PHI
CGY,Dustin Wolf,3,23,MIN,Marc-Andre Fleury,0,22,True,CGY
LA,Darcy Kuemper,1,24,SEA,Joey Daccord,3,20,True,SEA
FLA,Spencer Knight,3,24,COL,Justus Annunen,4,27,True,COL
MTL,Caiden Primeau,3,29,VGK,Ilya Samsonov,4,29,True,VGK
OTT,Linus Ullmark,8,27,VAN,Arturs Silovs,4,28,True,OTT
DET,Ville Husso,1,21,BOS,Brandon Bussi,2,31,True,BOS
TB,Andrei Vasilevskiy,1,25,DAL,Jake Oettinger,3,32,True,DAL
PIT,Tristan Jarry,1,24,UT,Karel Vejmelka,1,38,False,UT
WSH,Logan Thompson,2,25,NJ,Jake Allen,2,34,False,NJ
CBJ,Daniil Tarasov,1,27,CAR,Pyotr Kochetkov,3,32,True,CAR
NSH,Juuse Saros,1,32,WPG,Connor Hellebuyck,2,32,True,WPG
NYI,Ilya Sorokin,1,26,STL,Jordan Binnington,4,19,True,STL
SJ,Mackenzie Blackwood,4,31,BUF,Ukko-Pekka Luukkonen,1,20,True,SJ
EDM,Stuart Skinner,4,39,NYR,Igor Shesterkin,2,22,True,EDM
TOR,Joeseph Woll,3,35,UT,Karel Vejmelka,3,23,False,UT
TB,Andrei Vasilevskiy,4,29,COL,Alexandar Georgiev,3,23,True,TB
