date,away_team,home_team,visitor_goals,home_goals,visitor_sog,home_sog,visitor_goalie,home_goalie,regulation,winner
11/2/2024,chi,la,4,3,21,40,Petr Mrazek,Darcy Kuemper,FALSE,chi
11/2/2024,sea,ott,0,3,22,23,Philipp Grubauer,Anton Forsberg,TRUE,ott
11/2/2024,buf,det,1,2,32,23,Ukko-Pekka Luukkonen,Cam Talbot,TRUE,det
11/2/2024,mtl,pit,1,3,26,24,Sam Montembeault,Alex Nedeljkovic,TRUE,pit
11/2/2024,tor,stl,2,4,37,24,Joseph Woll,Jordan Binnington,TRUE,stl
11/2/2024,col,nsh,2,5,30,25,Justus Annunen,Juuse Saros,TRUE,nsh
11/2/2024,ari,vgk,3,4,19,35,Connor Ingram,Adin Hill,FALSE,vgk
11/2/2024,van,sj,3,2,27,23,Kevin Lankinen,Mackenzie Blackwood,TRUE,van
11/3/2024,nyi,nyr,2,5,37,40,Ilya Sorokin,Igor Shesterkin,TRUE,nyr
11/3/2024,tb,wpg,4,7,30,34,Jonas Johansson,Connor Hellebuyck,TRUE,wpg
11/3/2024,sea,bos,0,2,23,33,Joey Daccord,Jeremy Swayman,TRUE,bos
11/3/2024,wsh,car,2,4,21,45,Charlie Lindgren,Pyotr Kochetkov,TRUE,car
11/3/2024,tor,min,1,2,28,33,Anthony Stolarz,Filip Gustavsson,FALSE,min
11/3/2024,edm,cgy,4,2,31,31,Stuart Skinner,Dan Vladar,TRUE,edm
11/3/2024,chi,ana,4,2,29,39,Arvid Soderblom,Lukas Dostal,TRUE,chi
11/4/2024,la,nsh,3,0,27,16,Darcy Kuemper,Juuse Saros,TRUE,la
11/4/2024,nj,edm,3,0,16,31,Jake Allen,Calvin Pickard,TRUE,nj
11/5/2024,ott,buf,1,5,38,34,Linus Ullmark,Ukko-Pekka Luukkonen,TRUE,buf
11/5/2024,bos,tor,0,4,29,27,Jeremy Swayman,Anthony Stolarz,TRUE,tor
11/5/2024,cgy,mtl,3,2,35,23,Dustin Wolf,Sam Montembeault,FALSE,cgy
11/5/2024,phi,car,4,6,16,35,Aleksei Kolosov,Pyotr Kochetkov,TRUE,car
11/5/2024,pit,nyi,3,4,35,26,Alex Nedeljkovic,Ilya Sorokin,FALSE,nyi
11/5/2024,tb,stl,2,3,23,23,Andrei Vasilevskiy,Jordan Binnington,TRUE,stl
11/5/2024,la,min,5,1,28,24,David Rittich,Filip Gustavsson,TRUE,min
11/5/2024,ari,wpg,0,3,21,28,Karel Vejmelka,Connor Hellebuyck,TRUE,wpg
